Ticker,VAP_BV,VAP_SALES,VAP_GRAHAM,VAP_EARNINGS,LTP
ASTERDM.NS,151.29,345.5,136.77,159.52,239.55
INDIACEM.NS,348.0,275.2,201.0,151.84,179.8
SHARDACROP.NS,389.54,671.29,423.16,595.2,460.95
BHARATRAS.NS,3604.17,4970.91,4314.26,6627.04,9511.0
EDELWEISS.NS,130.81,67.44,60.81,36.32,53.05
GOCOLORS.NS,155.89,168.03,173.23,238.88,935.35
VGUARD.NS,60.95,140.69,63.23,84.16,248.55
ABSLAMC.NS,157.79,74.56,195.49,324.48,355.9
NH.NS,164.29,321.35,215.03,371.04,771.25
PNBHOUSING.NS,1148.96,227.29,868.95,867.68,510.65
FINCABLES.NS,490.04,451.9,459.88,572.48,819.45
CENTRALBK.NS,61.59,15.9,34.49,25.44,23.95
RTNINDIA.NS,7.63,33.17,16.7,47.36,36.05
SFL.NS,280.06,468.85,262.47,317.6,1053.35
VMART.NS,790.74,1784.65,358.61,209.92,2284.35
JKPAPER.NS,382.98,549.3,534.37,984.8,380.85
CAPLIPOINT.NS,384.13,281.21,457.06,698.88,601.8
DHANI.NS,155.45,26.55,NA,0.0,28.5
BEML.NS,944.09,1486.07,639.08,546.56,1248.3
INDOCO.NS,190.81,270.49,201.22,273.28,331.8
SHOPERSTOP.NS,20.22,525.73,44.6,126.88,644.9
JBMA.NS,150.33,512.49,169.08,250.56,638.9
DBL.NS,326.18,1035.0,90.08,31.36,179.4
CHALET.NS,122.45,69.07,100.04,104.64,360.55
OLECTRA.NS,180.9,186.86,123.63,112.16,655.25
TATACOFFEE.NS,165.75,224.45,167.49,217.92,203.5
SYMPHONY.NS,214.95,277.64,242.75,359.36,1110.55
RITES.NS,198.97,173.3,233.81,361.76,358.15
AVANTIFEED.NS,255.52,588.71,249.5,312.32,333.6
TATAINVEST.NS,7254.56,89.26,2108.4,787.52,1934.55
KNRCON.NS,161.49,209.26,179.24,254.56,253.9
TTKPRESTIG.NS,237.57,315.91,253.71,353.28,692.9
POLYMED.NS,215.68,169.01,210.06,265.6,963.35
HUDCO.NS,135.0,21.32,119.89,138.88,43.5
FACT.NS,14.16,161.82,41.65,165.12,221.15
MOIL.NS,195.04,101.68,208.81,286.88,148.45
FINPIPE.NS,115.49,119.5,115.2,150.08,168.1
GUJALKALI.NS,1523.83,935.68,1180.78,1195.84,592.6
KARURVYSYA.NS,178.71,60.81,163.71,191.68,97.3
VARROC.NS,103.16,669.61,NA,0.0,254.45
CASTROLIND.NS,34.7,73.31,59.42,132.0,110.45
RHIM.NS,130.42,198.0,174.15,303.36,607.2
ZYDUSWELL.NS,1364.89,499.23,921.49,775.68,1471.05
RBA.NS,35.1,59.67,NA,0.0,89.9
PRIVISCL.NS,389.86,604.6,282.89,263.36,1043.95
WESTLIFE.NS,60.38,211.46,71.16,109.12,689.35
SUVENPHAR.NS,106.42,78.72,140.91,239.2,471.8
ASTRAZEN.NS,388.48,564.61,464.07,704.0,3338.75
MAHINDCIE.NS,261.36,404.72,225.55,254.08,361.55
POWERINDIA.NS,496.95,1512.23,545.59,773.44,3357.15
JUBLPHARMA.NS,628.59,595.58,207.62,90.4,289.85
GSFC.NS,544.39,422.73,470.29,532.32,124.0
WOCKPHARMA.NS,466.23,291.39,NA,0.0,170.95
RVNL.NS,60.66,151.64,72.45,110.72,64.7
SJVN.NS,64.78,10.67,49.22,48.48,30.95
ENGINERSIN.NS,60.0,87.89,55.46,66.24,75.0
NAZARA.NS,299.2,219.96,124.05,65.44,510.3
INFIBEAM.NS,20.59,9.62,10.52,7.04,14.3
JKLAKSHMI.NS,412.24,813.36,437.82,611.84,737.45
BBTC.NS,1395.0,3587.14,NA,0.0,837.0
EIHOTEL.NS,90.86,41.95,66.69,63.36,158.0
THYROCARE.NS,120.73,150.0,140.02,211.36,440.0
COCHINSHIP.NS,635.67,352.23,544.79,617.6,448.5
EQUITASBNK.NS,68.21,41.01,56.24,60.64,64.8
SUDARSCHEM.NS,230.02,501.21,152.45,133.6,407.65
RAINBOW.NS,174.16,163.01,159.61,193.12,732.45
GRINFRA.NS,1064.22,1498.18,1318.59,2153.76,1028.75
MAHLOG.NS,141.43,1029.62,112.3,115.84,363.8
SONATSOFTW.NS,151.74,750.27,247.24,517.44,825.3
UFLEX.NS,1922.82,3204.71,1651.76,1889.6,363.2
RCF.NS,149.72,588.9,183.34,296.8,98.15
IBREALEST.NS,134.75,21.46,NA,0.0,54.65
RAYMOND.NS,722.86,1860.29,876.58,1406.08,1265.0
GALAXYSURF.NS,903.14,1946.98,1107.55,1770.24,2388.3
GPPL.NS,78.4,29.0,73.99,92.16,110.2
LEMONTREE.NS,20.58,14.3,11.68,8.64,75.1
BASF.NS,1102.51,4836.25,1346.7,2137.76,2321.4
PNCINFRA.NS,287.49,473.83,317.76,462.08,284.3
INDUSTOWER.NS,134.55,162.95,121.78,144.0,151.0
SIEMENS.NS,586.18,703.44,555.06,672.0,3324.95
BEL.NS,32.25,36.26,38.68,59.68,92.1
TORNTPHARM.NS,326.17,413.09,314.61,391.04,1531.2
NYKAA.NS,8.89,25.14,2.99,1.28,138.1
BANDHANBNK.NS,221.1,84.77,229.47,320.16,212.5
HDFCAMC.NS,469.9,178.07,604.47,1038.56,1743.85
VEDL.NS,265.35,598.35,393.22,751.04,271.25
NAUKRI.NS,2023.19,260.99,1233.58,978.72,3518.1
SRF.NS,563.08,744.91,888.19,1802.24,2383.7
COLPAL.NS,147.72,386.02,230.41,1049.49,1520.9
GMMPFAUDLR.NS,274.56,1012.4,491.7,1135.36,1525.35
HIKAL.NS,172.29,264.87,97.84,77.92,307.25
SIS.NS,267.61,1148.97,281.9,381.92,352.35
SWANENERGY.NS,145.14,45.91,NA,0.0,216.1
WELCORP.NS,303.94,446.08,173.79,128.48,199.25
BANKBARODA.NS,366.07,124.52,318.66,363.84,162.7
AMBUJACEM.NS,282.65,234.55,176.94,142.24,372.15
BERGEPAINT.NS,76.17,159.4,91.61,141.28,575.95
ZOMATO.NS,44.49,11.41,NA,0.0,52.65
PIDILITIND.NS,234.08,343.2,266.76,389.6,2368.1
ACC.NS,1360.41,1401.85,841.54,683.04,1738.3
ICICIPRULI.NS,125.83,555.86,93.24,88.16,418.75
SBICARD.NS,169.68,193.6,223.97,377.44,720.2
BOSCHLTD.NS,6568.32,7124.15,6253.3,7617.28,18427.8
MOTHERSON.NS,55.66,163.12,30.81,22.08,65.25
MUTHOOTFIN.NS,940.07,286.53,1029.48,1473.6,981.85
PIIND.NS,793.18,630.9,868.62,1229.92,2956.8
HAVELLS.NS,179.23,399.63,194.71,274.08,1190.9
CHOLAFIN.NS,290.29,111.78,312.87,443.52,746.7
ICICIGI.NS,387.11,554.9,395.58,520.16,1083.9
BAJAJHLDNG.NS,6960.52,70.85,6020.5,6671.52,6032.45
IOC.NS,167.29,846.43,NA,0.0,79.0
LICI.NS,77.62,1939.09,192.38,620.0,568.8
MCDOWELL-N.NS,196.7,302.06,176.23,457.92,768.75
TATAPOWER.NS,156.6,265.62,140.75,168.0,200.1
GODREJCP.NS,298.75,255.64,210.55,429.03,952.25
HAL.NS,1098.64,1138.15,1535.26,2678.4,2496.35
MPHASIS.NS,732.68,1123.64,853.11,1306.56,1782.85
IRCTC.NS,50.88,61.88,85.15,184.32,605.15
AAVAS.NS,700.58,188.84,664.59,818.56,1700.85
RAJESHEXPO.NS,863.8,16316.25,635.75,630.88,652.65
SUPREMEIND.NS,563.09,1098.05,661.6,1010.4,2540.15
DALBHARAT.NS,1452.07,1039.82,1012.06,902.4,1823.15
TVSMOTOR.NS,192.99,969.91,253.56,428.48,1047.5
ADANITRANS.NS,164.86,166.49,153.06,174.56,1084.4
CANBK.NS,789.19,311.78,709.9,844.64,280.6
ABCAPITAL.NS,131.5,158.37,168.13,296.8,154.15
GRINDWELL.NS,262.93,329.76,317.8,491.84,1763.1
PFC.NS,537.71,184.29,581.8,830.4,152.35
PNB.NS,172.1,33.15,56.98,25.12,46.85
BANKINDIA.NS,269.63,59.84,151.88,113.76,73.4
TRENT.NS,123.98,319.77,127.37,171.84,1345.15
PGHH.NS,655.59,2415.76,991.1,4304.34,13830.2
DLF.NS,276.89,36.45,155.15,115.68,367.65
DMART.NS,418.49,952.97,430.76,569.6,3373.5
SHREECEM.NS,8934.33,7098.66,6654.44,6326.88,25413.2
GAIL.NS,183.67,321.73,164.44,192.16,105.1
MARICO.NS,69.81,150.74,78.8,257.58,479.35
LTIM.NS,963.19,1075.21,1314.12,2297.12,4601.9
BIOCON.NS,151.46,128.84,75.69,50.88,207.0
DABUR.NS,90.32,97.01,103.44,152.8,539.4
PAYTM.NS,388.06,167.49,NA,0.0,623.05
ATGL.NS,42.77,56.92,56.07,91.84,982.05
GLAND.NS,834.43,358.02,822.74,1036.0,1284.1
ADANIGREEN.NS,57.54,60.07,52.94,59.36,982.35
ABBOTINDIA.NS,2345.58,3787.84,3528.33,6930.24,21540.2
RELAXO.NS,130.02,166.96,101.23,102.88,829.25
POLICYBZR.NS,217.61,74.46,NA,0.0,580.3
SYNGENE.NS,148.74,111.39,140.77,172.16,579.25
PHOENIXLTD.NS,783.6,201.03,797.38,1052.16,1297.3
JINDALSTEL.NS,711.32,819.41,580.22,634.88,557.2
LICHSGFIN.NS,874.57,179.6,702.2,755.68,335.25
ASHOKLEY.NS,43.98,196.14,34.08,33.76,137.3
AFFLE.NS,184.98,160.59,205.51,299.52,973.2
UNIONBANK.NS,207.8,60.23,163.53,169.6,64.65
ESCORTS.NS,1310.58,928.33,941.47,876.32,1856.65
ATUL.NS,2766.16,2823.0,2546.99,2979.04,6869.3
ABFRL.NS,68.89,187.5,41.76,32.48,211.25
HONAUT.NS,6031.68,5526.96,5907.36,7384.16,35519.9
TATACHEM.NS,1383.0,949.12,1180.55,1315.68,968.1
OFSS.NS,1444.04,951.66,1936.01,3308.64,3184.9
MSUMI.NS,4.47,23.23,7.16,14.72,47.7
GODREJIND.NS,391.86,772.97,329.49,353.76,407.1
SHRIRAMFIN.NS,1906.71,477.48,1981.6,2695.36,1260.55
FLUOROCHEM.NS,806.47,733.73,1065.31,1830.24,3091.45
RECLTD.NS,384.22,87.61,429.89,626.72,117.4
INDIANB.NS,712.03,218.61,596.31,661.76,276.9
TATACOMM.NS,57.62,925.68,218.53,1066.56,1221.9
PFIZER.NS,1143.86,785.84,1341.2,2006.88,3520.55
GLAXO.NS,156.19,292.67,219.24,397.92,1295.55
KANSAINER.NS,145.78,204.63,115.32,116.8,384.7
ASTRAL.NS,163.63,283.12,172.03,232.64,1336.35
AUBANK.NS,285.62,113.63,265.98,323.36,569.65
RAMCOCEM.NS,502.98,460.89,289.55,212.0,740.5
